label,split,field,n_total,n_nonmissing,missing_rate,mean,p25,p50,p75,min,max
Friends,test,current_value_used_eur,134,118,0.11940298507462686,1.553898305084746,1.1549999999999998,1.4,1.62,0.61,5.72
Games,train,year,84,84,0.0,2010.9880952380952,2010.0,2011.0,2012.0,2009.0,2013.0
Games,train,year_released,84,84,0.0,2010.9880952380952,2010.0,2011.0,2012.0,2009.0,2013.0
Games,train,current_value_new_eur,84,83,0.011904761904761904,3.0281927710843375,0.755,1.41,3.455,0.19,17.78
Games,train,current_value_used_eur,84,83,0.011904761904761904,2.0759036144578316,0.345,0.78,1.805,0.13,21.45
Games,val,year,18,18,0.0,2011.7222222222222,2010.25,2012.0,2013.0,2010.0,2013.0
Games,val,year_released,18,18,0.0,2011.7222222222222,2010.25,2012.0,2013.0,2010.0,2013.0
Games,val,current_value_new_eur,18,18,0.0,4.5761111111111115,0.9675,1.495,4.8125,0.22,25.14
Games,val,current_value_used_eur,18,18,0.0,3.102777777777778,0.4925,1.17,3.3525,0.19,17.92
Games,test,year,19,19,0.0,2010.4736842105262,2010.0,2010.0,2011.0,2009.0,2013.0
Games,test,year_released,19,19,0.0,2010.4736842105262,2010.0,2010.0,2011.0,2009.0,2013.0
Games,test,current_value_new_eur,19,19,0.0,1.236842105263158,0.435,0.83,1.51,0.17,5.19
Games,test,current_value_used_eur,19,19,0.0,2.9026315789473682,0.345,0.51,1.445,0.12,40.21
Harry Potter,train,year,445,445,0.0,2018.3078651685394,2018.0,2021.0,2023.0,2001.0,2026.0
Harry Potter,train,year_released,445,445,0.0,2018.3078651685394,2018.0,2021.0,2023.0,2001.0,2026.0
Harry Potter,train,current_value_new_eur,445,445,0.0,7.046269662921349,2.83,4.69,8.09,0.74,86.08
Harry Potter,train,current_value_used_eur,445,412,0.07415730337078652,5.005436893203883,2.0075,3.465,5.965,0.56,36.67
Harry Potter,val,year,95,95,0.0,2020.0,2019.0,2022.0,2024.0,2001.0,2026.0
Harry Potter,val,year_released,95,95,0.0,2020.0,2019.0,2022.0,2024.0,2001.0,2026.0
Harry Potter,val,current_value_new_eur,95,95,0.0,7.4835789473684216,2.6500000000000004,4.98,8.25,0.76,97.23
Harry Potter,val,current_value_used_eur,95,86,0.09473684210526316,4.662674418604651,1.9,3.13,5.19,0.56,32.74
Harry Potter,test,year,96,96,0.0,2018.5104166666667,2018.0,2021.0,2023.0,2001.0,2026.0
Harry Potter,test,year_released,96,96,0.0,2018.5104166666667,2018.0,2021.0,2023.0,2001.0,2026.0
Harry Potter,test,current_value_new_eur,96,96,0.0,6.611562500000001,2.5125,4.885,8.030000000000001,0.79,27.39
Harry Potter,test,current_value_used_eur,96,92,0.041666666666666664,4.670108695652174,1.8175000000000001,2.99,6.199999999999999,0.56,24.51
Holiday & Event,train,year,268,268,0.0,2019.205223880597,2016.0,2020.0,2022.0,2006.0,2026.0
Holiday & Event,train,year_released,268,268,0.0,2019.205223880597,2016.0,2020.0,2022.0,2006.0,2026.0
Holiday & Event,train,current_value_new_eur,268,255,0.048507462686567165,4.624862745098039,1.85,2.72,5.265000000000001,0.89,39.29
Holiday & Event,train,current_value_used_eur,268,237,0.11567164179104478,2.9045991561181435,1.39,1.91,3.37,0.4,21.74
Holiday & Event,val,year,57,57,0.0,2018.982456140351,2017.0,2020.0,2023.0,2009.0,2025.0
Holiday & Event,val,year_released,57,57,0.0,2018.982456140351,2017.0,2020.0,2023.0,2009.0,2025.0
Holiday & Event,val,current_value_new_eur,57,56,0.017543859649122806,4.950892857142857,1.9924999999999997,2.935,5.4,1.36,26.94
Holiday & Event,val,current_value_used_eur,57,55,0.03508771929824561,3.3530909090909087,1.48,2.34,3.635,0.59,18.43
Holiday & Event,test,year,58,58,0.0,2018.9827586206898,2017.0,2020.0,2023.0,1995.0,2025.0
Holiday & Event,test,year_released,58,58,0.0,2018.9827586206898,2017.0,2020.0,2023.0,1995.0,2025.0
Holiday & Event,test,current_value_new_eur,58,56,0.034482758620689655,2.6723214285714287,1.6574999999999998,1.995,3.2525,1.01,9.94
Holiday & Event,test,current_value_used_eur,58,55,0.05172413793103448,2.228727272727273,1.31,1.67,2.38,0.93,16.86
Jurassic World,train,year,96,96,0.0,2020.3854166666667,2018.0,2021.0,2022.25,2015.0,2025.0
Jurassic World,train,year_released,96,96,0.0,2020.3854166666667,2018.0,2021.0,2022.25,2015.0,2025.0
Jurassic World,train,current_value_new_eur,96,96,0.0,5.050833333333333,3.24,4.13,5.67,1.51,20.04
Jurassic World,train,current_value_used_eur,96,96,0.0,3.9562500000000003,2.085,2.73,4.0,1.15,32.48
Jurassic World,val,year,20,20,0.0,2020.85,2018.75,2021.5,2023.25,2015.0,2025.0
Jurassic World,val,year_released,20,20,0.0,2020.85,2018.75,2021.5,2023.25,2015.0,2025.0
Jurassic World,val,current_value_new_eur,20,19,0.05,6.29421052631579,3.415,4.05,5.6,2.49,32.87
Jurassic World,val,current_value_used_eur,20,19,0.05,4.348947368421053,2.115,2.64,3.105,1.64,24.4
Jurassic World,test,year,22,22,0.0,2020.090909090909,2018.0,2019.0,2022.75,2015.0,2025.0
Jurassic World,test,year_released,22,22,0.0,2020.090909090909,2018.0,2019.0,2022.75,2015.0,2025.0
Jurassic World,test,current_value_new_eur,22,22,0.0,4.867272727272727,3.5925,4.365,6.1,2.17,9.16
Jurassic World,test,current_value_used_eur,22,22,0.0,3.389090909090909,2.2925,2.795,4.2325,1.45,8.1
LEGENDS OF CHIMA,train,year,108,108,0.0,2014.0,2013.0,2014.0,2015.0,2013.0,2015.0
LEGENDS OF CHIMA,train,year_released,108,108,0.0,2014.0,2013.0,2014.0,2015.0,2013.0,2015.0
LEGENDS OF CHIMA,train,current_value_new_eur,108,108,0.0,5.971666666666666,3.2475,4.225,7.06,1.58,76.21
LEGENDS OF CHIMA,train,current_value_used_eur,108,108,0.0,3.6141666666666663,2.025,2.5149999999999997,4.22,1.09,35.79
LEGENDS OF CHIMA,val,year,23,23,0.0,2013.9565217391305,2013.5,2014.0,2014.0,2013.0,2015.0
LEGENDS OF CHIMA,val,year_released,23,23,0.0,2013.9565217391305,2013.5,2014.0,2014.0,2013.0,2015.0
LEGENDS OF CHIMA,val,current_value_new_eur,23,23,0.0,7.461304347826087,3.255,4.97,7.074999999999999,2.75,35.38
LEGENDS OF CHIMA,val,current_value_used_eur,23,23,0.0,3.785217391304348,1.91,2.52,5.095,1.43,17.7
LEGENDS OF CHIMA,test,year,24,24,0.0,2013.9166666666667,2013.0,2014.0,2014.25,2013.0,2015.0
LEGENDS OF CHIMA,test,year_released,24,24,0.0,2013.9166666666667,2013.0,2014.0,2014.25,2013.0,2015.0
LEGENDS OF CHIMA,test,current_value_new_eur,24,24,0.0,5.15125,3.4025,4.4350000000000005,6.5,2.15,12.71
LEGENDS OF CHIMA,test,current_value_used_eur,24,24,0.0,2.73625,1.8775,2.3,3.2199999999999998,1.26,5.53
LEGO Brand,train,year,113,113,0.0,2014.9646017699115,2012.0,2014.0,2018.0,2008.0,2023.0
LEGO Brand,train,year_released,113,113,0.0,2014.9646017699115,2012.0,2014.0,2018.0,2008.0,2023.0
LEGO Brand,train,current_value_new_eur,113,92,0.18584070796460178,12.150108695652174,2.3099999999999996,4.845000000000001,13.002500000000001,1.37,164.99
LEGO Brand,train,current_value_used_eur,113,96,0.1504424778761062,8.124895833333333,1.7850000000000001,2.8,5.967499999999999,0.8,118.15
LEGO Brand,val,year,24,24,0.0,2014.125,2012.0,2012.0,2016.5,2011.0,2025.0
LEGO Brand,val,year_released,24,24,0.0,2014.125,2012.0,2012.0,2016.5,2011.0,2025.0
LEGO Brand,val,current_value_new_eur,24,18,0.25,13.416111111111112,2.2425,3.915,31.4325,1.37,42.14
LEGO Brand,val,current_value_used_eur,24,16,0.3333333333333333,9.2125,1.5,2.38,6.949999999999999,0.97,63.22
LEGO Brand,test,year,25,25,0.0,2013.48,2012.0,2012.0,2016.0,2011.0,2021.0
LEGO Brand,test,year_released,25,25,0.0,2013.48,2012.0,2012.0,2016.0,2011.0,2021.0
LEGO Brand,test,current_value_new_eur,25,16,0.36,9.734375,2.425,4.43,8.3825,1.74,35.82
LEGO Brand,test,current_value_used_eur,25,20,0.2,12.197,1.6875,2.3099999999999996,6.8374999999999995,0.81,109.57
LEGO Ideas,train,year,190,190,0.0,2021.3894736842105,2019.25,2022.0,2024.0,2012.0,2025.0
LEGO Ideas,train,year_released,190,190,0.0,2021.3894736842105,2019.25,2022.0,2024.0,2012.0,2025.0
LEGO Ideas,train,current_value_new_eur,190,190,0.0,8.268157894736841,3.22,6.55,10.735,1.35,40.96
